ID de alumno,Diagnostico (20%),Tarea 3 (20%),Tarea 5 (20%),Tarea 10 (20%),Exámen Final (20%),Promedio,Definitiva
201519536,5,5,3.5,5,4.38,4.576,4.58
201411794,5,5,2,4.7,0,3.34,3.34
201515480,5,5,5,4.7,1.25,4.19,4.19
201415329,5,5,1,4.6,2.5,3.62,3.62
201514934,5,5,5,5,1.88,4.376,4.38
201223884,5,5,0,1.5,2.5,2.8,2.8
201423234,5,5,5,4.5,1.25,4.15,4.15
201425650,5,5,5,2,1.88,3.776,3.78
201413837,5,5,3,5,2.5,4.1,4.1
201521275,5,5,2,4.7,3.13,3.966,3.97
201517561,5,5,5,5,2.5,4.5,4.5
201215953,5,5,1.5,4.5,2.5,3.7,3.7
201531559,5,5,5,5,2.5,4.5,4.5
201423871,5,5,5,5,2.5,4.5,4.5
201422410,5,5,5,5,2.5,4.5,4.5
201422464,5,5,1.5,2,0,2.7,2.7
201426137,5,5,5,4.7,1.25,4.19,4.19
201315485,5,2,0,0,2.5,1.9,P
201424402,5,5,5,5,1.88,4.376,4.38
201425553,5,5,1.5,4.5,2.5,3.7,3.7
201216512,5,5,1.5,0,1.25,2.55,2.55
200825302,5,5,4,5,2.5,4.3,4.3
