ID de alumno,Diagnostico (20%),Tarea 3 (20%),Tarea 5 (20%),Tarea 10 (20%),Comentarios Tarea 10
201519536,5,5,3.5,5,
201411794,5,5,2,4.7,no analiza X^2
201515480,5,5,5,4.7,no analiza X^2
201415329,5,5,1,4.6,no logra calcular X^2
201514934,5,5,5,5,
201223884,5,5,0,1.5,"no muestra resultados del primer punto, no hizo puntos 2 ni 3"
201423234,5,5,5,4.5,no hizo el punto 3
201425650,5,5,5,2,no hizo puntos 2 ni 3
201413837,5,5,3,5,
201521275,5,5,2,4.7,no analiza X^2
201517561,5,5,5,5,
201215953,5,5,1.5,4.5,no hizo el punto 3
201531559,5,5,5,5,
201423871,5,5,5,5,
201422410,5,5,5,5,
201422464,5,5,1.5,2,no hizo puntos 2 ni 3
201426137,5,5,5,4.7,no analiza X^2
201315485,5,2,0,0,
201424402,5,5,5,5,
201425553,5,5,1.5,4.5,no hizo el punto 3
201216512,5,5,1.5,0,
200825302,5,5,4,5,
