ID de alumno,Diagnostico (20%),Tarea 3 (20%),40.00%,Comentarios Tarea 3
201519536,5,5,5,
201411794,5,5,5,inicializó el contador en 0
201515480,5,5,5,no usar comando break ni while(True)
201415329,5,5,5,inicializó el contador en 0
201514934,5,5,5,
201223884,5,5,5,muy buen trabajo
201423234,5,5,5,"Por favor nombrar el archivo como se indica en el enunciado, debía probar el número 27"
201425650,5,5,5,debía probar el número 27
201413837,5,5,5,
201521275,5,5,5,
201517561,5,5,5,
201215953,5,5,5,inicializó el contador en 0
201531559,5,5,5,
201423871,5,5,5,"aunque inició el contador en 0, su implementación es mejor a otras."
201422410,5,5,5,
201422464,5,5,5,inició en 0
201426137,5,5,5,
201315485,5,2,3.5,"no está la parte B, la parte A no corre, hay varios errores de sintaxis, además de condiciones innecesarias y mal hechas."
201424402,5,5,5,inició en 0
201425553,5,5,5,inició en 0
201216512,5,5,5,debía probar el 27
200825302,5,5,5,debía probar el 27
