ID de alumno,Diagnostico (20%),Tarea 3 (20%),Tarea 5 (20%),Tarea 10 (20 %),Exámen Final (20%),DEFINITIVA
201618954,5,5,2,5,2.5,3.9
201514936,5,5,1.5,5,1.88,3.676
201425623,5,5,2,5,1.88,3.776
201313427,5,5,5,4.7,3.125,4.565
201510548,5,5,2,5,1.88,3.776
201518139,5,5,2,3.5,1.25,3.35
201224021,5,5,2,0,1.25,2.65
201326239,5,5,4,5,1.25,4.05
201326309,5,5,4,5,1.88,4.176
201317343,5,5,4,4.7,1.25,3.99
201421830,5,5,2.5,5,1.88,3.876
201423810,5,5,2,5,2.5,3.9
201415889,5,5,2,5,1.88,3.776
201414460,5,5,5,1.5,1.88,3.676
201518778,5,5,0,5,0,3
201616879,5,5,1.5,4.8,1.25,3.51
201519363,5,0,0,0,1.25,1.25
201225248,5,5,1,5,0.63,3.326
201317962,5,2,2,4.7,1.88,3.116
