ID de alumno,Diagnostico (20%),Tarea 3 (20%),Tarea 5 (20%),Tarea 10 (20 %),Comentarios Tarea 10
201618954,5,5,2,5,
201514936,5,5,1.5,5,
201425623,5,5,2,5,
201313427,5,5,5,0,
201510548,5,5,2,5,
201518139,5,5,2,3.5,"no limpia bien, y tampoco calcula bien chi"
201224021,5,5,2,0,
201326239,5,5,4,5,
201326309,5,5,4,5,
201317343,5,5,4,4.7,no analiza chi
201421830,5,5,2.5,5,
201423810,5,5,2,5,
201415889,5,5,2,5,
201414460,5,5,5,1.5,no cumple ninguno de los requerimientos
201518778,5,5,0,5,
201616879,5,5,1.5,0,5. No utiliza recursion 10.
201519363,5,0,0,0,
201225248,5,5,1,5,
201317962,5,2,2,4.7,no calcula bien chi
