,ID de alumno,Diagnostico (20%),Tarea 3 (20%),40.00%,Comentarios Tarea 3
,201618954,5,5,5,usar mensaje en output por orden
,201514936,5,5,5,inició el contador en 0
,201425623,5,5,5,
,201313427,5,5,5,nombrar cómo dice el enunciado
,201510548,5,5,5,
,201518139,5,5,5,debía probar el 27
,201224021,5,5,5,nombrar cómo dice el enunciado
,201326239,5,5,5,
,201326309,5,5,5,
,201317343,5,5,5,
,201421830,5,5,5,debía probar el 27
,201423810,5,5,5,
,201415889,5,5,5,
,201414460,5,5,5,"código inicial tenía error de sintaxis, por usar letra con tilde que no es un carácter ASCII, pruebe su código antes de enviarlo"
,201518778,5,5,5,
,201616879,5,5,5,"debía probar el 27, inició en 0"
,201519363,5,0,2.5,no entregó nada
,201225248,5,5,5,"probar el 27, nombrar según el enunciado"
,201317962,5,2,3.5,"no está parte B, parte A no corre por problemas de sintaxis e identación"
