ID de alumno		,	Ejercicio 10 , Comentarios
201313006,			4.6,	No calcula bien el X^2
201125674,			4.5,	No hizo el análisis de X^2
201313816,			4.7,	No dice nada sobre el X^2 calculado
201620216,			3.7,	No comparo los datos sin outliers contra la optimización. y no hace el punto 3
201422249,			4.6,	No calcula bien el X^2
201620969,			2.5,	No desarrolló el punto 3. además el ajuste no está bien hecho y no está comparando los datos con los de su ajuste en ningún momento
201523617,			3.7,	No comparo los datos sin outliers contra la optimización. y no hace el punto 3
201615332,			5,	
201216203,			2.5,	No desarrolló los puntos 2 ni 3 de la tarea
201015735,			5,	
201513563,			5,	
201218391,			4.5,	No hizo el punto 3
201418451,			5,
