ID de alumno	,		Ejercicio 3 , Comentarios
201313006		,	2.8	,No corre. además. debe iniciar el contador en 1
201125674		,	5	,
201313816		,	5	,
201620216		,	5	,
201422249		,	5	,Muy buen trabajo
201620969		,	4.8	,Su código es mejor a los demás pero inicialmente no imprime la respuesta
201523617		,	5,	
201412534		,	0,	No entregó
201615332		,	5,	
201327100		,	5,	
201216203		,	5,	Debe probar el 27. e inicializar el contador en 1
201224929		,	5,	Debe probar el 27. hay errores de sintaxis por los que no corre el código (error simple. usar caracteres no ASCII). no hay error de sintaxis o lógica
201015735		,	5,	
201513563		,	5,	
201218391		,	5,	
201418451		,	5,	

