ID de alumno,Baseline (0%),Diagnóstico (20%),Examen final (20%),Ejercicio 3  (20%),Ejercicio 5 (20%),Ejercicio 10 (20%),Nota final
201313006,1.875,5,1.88,2.8,1.5,4.6,3.156
201125674,1.25,5,2.5,5,2.5,4.5,3.9
201313816,1.25,5,1.25,5,4,4.7,3.99
201620216,1.25,5,3.75,5,5,3.7,4.49
201422249,1.25,5,1.88,5,2,4.6,3.696
201620969,1.25,5,0,4.8,0,2.5,2.46
201523617,1.25,5,1.88,5,2,3.7,3.516
201615332,1.25,5,1.25,5,1,5,3.45
201216203,1.25,5,0.63,5,5,2.5,3.626
201015735,2.5,5,3.125,5,5,5,4.625
201513563,1.875,5,3.125,5,4.5,5,4.525
201218391,1.875,5,4.375,5,2,4.5,4.175
201418451,0.625,5,1.25,5,0,5,3.25
