ID de alumno,			Ejercicio 10 ,Comentarios
200814869	,		5	,
201512777	,		5	,
201613163	,		5	,
201613222	,		4.7	,No dice nada sobre el X^2
201531067	,		4.7	,No dice nada sobre el X^2
201620754	,		2	,No logra hacer ninguno de los requerimientos
201423499	,		5	,
201615104	,		4.5	,No hizo el punto 3
201623999	,		4.5	,No hizo el punto 3
201514441	,		4.7	,No dice nada sobre el X^2
201616268	,		4.7	,No analiza bien el X^2
201513645	,		5	,
201515360	,		2	,No logra hacer ninguno de los requerimientos
201316966	,		NA	,
