ID de alumno,			Ejercicio 3 , Comentarios
201620424,			5	,
201514933,			5,	Debe iniciar el contador en 1
201611290,			5,	Debe ser más atento, se indica que pruebe el 27
201619128,			5,	
201613924,			5,	Tratar de hacer un output más ordenado
201513008,			5,	Debe ser más atento, se indica que pruebe el 27
201516503,			5,	Tratar de hacer un output más ordenado
201425077,			0,	Su código no es el de la tarea 3, quizás subió el de otra actividad por error, no puedo darle nota por esto.
201615855,			5,	
201424162,			0,	No entregó
201514567,			5,	
201532062,			5,	
201512298,			5,	
201513558,			5,	
201413062,			5,	Tratar de hacer un output más ordenado
201517250,			5,	Debe ser más atento, se indica que pruebe el 27
201533975,			2.5,	El código no corre, hay errores de sintaxis e identación, debe probar su código antes de enviarlo
201114992,			5,	Muy buen trabajo
201517402,			5,	Muy buen trabajo
201532432,			5,	
201618267,			5,	Tratar de hacer un output más ordenado
201530579,			5,
