ID de alumno,Baseline (0%),Diagnóstico (20%),Examen final (20%),Ejercicio 3 (20%),Ejercicio 5 (20%),Ejercicio 10 (20%),Definitiva
201620424,1.875,5,3.13,5,5,4.5,4.526
201611290,0.625,5,2.5,5,2,0,2.9
201619128,1.875,5,3.13,5,4,5,4.426
201613924,0.625,5,1.25,5,2,4.6,3.57
201513008,1.25,5,0.63,5,1.5,5,3.426
201516503,3.125,5,4.38,5,5,5,4.876
201425077,1.25,5,1.88,0,0.5,5,2.476
201615855,0.625,5,0.63,5,2,5,3.526
201424162,0.625,5,2.5,0,3,5,3.1
201514567,1.875,5,2.5,5,2,5,3.9
201532062,1.25,5,1.88,5,2,5,3.776
201512298,0,5,1.25,5,1.5,2,2.95
201513558,1.875,5,3.13,5,0.5,5,3.726
201413062,1.25,5,3.13,5,PD,5,PD
201517250,0.625,5,1.88,5,0.5,3,3.076
201533975,0.625,5,1.25,2.5,0.5,1.5,2.15
201114992,1.25,5,3.75,5,5,5,4.75
201517402,3.125,5,2.5,5,5,5,4.5
201532432,1.25,5,2.5,5,5,5,4.5
201618267,1.25,5,3.13,5,2.5,5,4.126
201530579,1.25,5,2.5,5,2,5,3.9
