ID de alumno,Diagnostico (/5),Taller 3 (/5),Taller ? (/5),Taller ? (/5),Final (/5),Definitiva,Comentarios Taller 3
201512756,5,0,,,,2.5,
201519648,5,3.5,,,,4.25,
201613444,5,5,,,,5,
201514994,5,5,,,,5,
201224021,5,0,,,,2.5,
201619132,5,5,,,,5,
201511835,5,5,,,,5,
201631487,5,5,,,,5,
201615563,5,3,,,,4,ultimo punto no funciona
201616584,5,5,,,,5,
201514616,5,4.7,,,,4.85,verificar que el programa corre antes de enviarlo.
201512298,5,3,,,,4,ultimo punto no funciona
201023855,5,0,,,,2.5,
201617653,5,5,,,,5,
201617671,5,5,,,,5,
201216512,5,5,,,,5,
201414968,5,5,,,,5,
201618246,5,3.7,,,,4.35,ultimo punto mal hecho
