ID de alumno,Diagnostico (/5),Taller 3 (/5),Taller 8 (/5),Taller ? (/5),Final (/5),Definitiva,Comentarios Taller 8
201512756,5,0,2.5,,,,Falta casi todo
201519648,5,3.5,0,,,,
201613444,5,5,5,,,,
201514994,5,5,5,,,,
201224021,5,0,4.5,,,,El valor del ultimo punto no es el correcto
201619132,5,5,5,,,,
201511835,5,5,1.7,,,,Falta casi todo
201631487,5,5,5,,,,
201615563,5,3,4.3,,,,Falta en el ultimo punto
201616584,5,5,5,,,,
201514616,5,4.7,0,,,,
201512298,5,3,5,,,,
201023855,5,0,0,,,,
201617653,5,5,5,,,,
201617671,5,5,5,,,,
201216512,5,5,5,,,,
201414968,5,5,0,,,,
201618246,5,3.7,2.5,,,,Falta casi todo
