ID de alumno,Diagnostico,Taller 3 (/5),Taller ? (/5),Taller ? (/5),Final (/5),Definitiva,Comentarios Taller 3
201513860,5,5,,,,5,
201513864,5,5,,,,5,
201316989,5,5,,,,5,
201530839,5,0,,,,2.5,
201411944,5,5,,,,5,
201412002,5,5,,,,5,
201610998,5,3,,,,4,
201521834,5,2.5,,,,3.75,"aunque está bien usar funciones olvidó llamarlas dentro del código así que no hace los puntos 2 ni 3, además están mal implementadas, PROBAR EL CÓDIGO ANTES DE ENVIARLO"
201518227,5,3.5,,,,4.25,punto 3 mal implementado
201416493,5,5,,,,5,
201226334,5,5,,,,5,
201614747,5,5,,,,5,
201620969,5,5,,,,5,
201531481,5,5,,,,5,
201426246,5,0,,,,2.5,
201513555,5,5,,,,5,
201514669,5,3,,,,4,ultimo punto está mal implemantado al probar otros numeros
201517242,5,5,,,,5,
201520628,5,5,,,,5,
201416169,5,5,,,,5,
201617925,5,5,,,,5,
