ID de alumno,Diagnostico,Taller 3 (/5),Taller 8 (/5),Taller ? (/5),Final (/5),Definitiva,Comentarios Taller 8
201513860,5,5,5,,,,
201513864,5,5,5,,,,
201316989,5,5,5,,,,
201530839,5,5,5,,,,
201411944,5,5,5,,,,
201412002,5,5,3.8,,,,"Grafica con fit incompleta, valores maximos incorrectos."
201610998,5,3,5,,,,
201521834,5,2.5,0,,,,
201518227,5,3.5,4.3,,,,El ultimo punto no tiene el resultado correcto
201416493,5,5,5,,,,
201226334,5,5,5,,,,
201614747,5,5,4.3,,,,Ultimo punto incorrecto
201620969,5,5,0,,,,
201531481,5,5,5,,,,
201426246,5,0,4.9,,,,"Aunque filtro bien, no grafico las listas filtradas"
201513555,5,5,5,,,,
201514669,5,3,4.3,,,,Ultimo punto incorrecto
201517242,5,5,5,,,,
201520628,5,5,3.8,,,,Faltan ultimos dos puntos
201416169,5,5,5,,,,
201617925,5,5,5,,,,
