ID de alumno,Diagnostico,Taller 3 (/5),Taller 8 (/5),Taller 9 (/5),Final (/5),Definitiva,Comentarios Taller 9
201513860,5,5,5,5,,,
201513864,5,5,5,5,,,
201316989,5,5,5,4,,,4. Falta el Newton
201530839,5,5,5,4.5,,,4. Newton mal definido debe ser la derivada sobre la segunda derivada
201411944,5,5,5,4.5,,,4. Newton mal definido debe ser la derivada sobre la segunda derivada
201412002,5,5,3.8,5,,,
201610998,5,3,5,4.5,,,4. Newton mal definido debe ser la derivada sobre la segunda derivada
201521834,5,2.5,0,0,,,
201518227,5,3.5,4.3,2.9,,,"1. Errores de sintaxis, funcion mal definida. 3. Segunda derivada mal definida. 4. No hace Newton."
201416493,5,5,5,5,,,
201226334,5,5,5,5,,,
201614747,5,5,4.3,5,,,
201620969,5,5,0,5,,,Muy bien
201531481,5,5,5,5,,,
201426246,5,0,4.9,5,,,
201513555,5,5,5,5,,,
201514669,5,3,4.3,0,,,
201517242,5,5,5,5,,,
201520628,5,5,3.8,2.8,,,"3. Funcion mal definida 4. Falta segunda derivada, grafica incompleta"
201416169,5,5,5,2.7,,,"1,2,4. Mala indentacion produjo resultado incorrecto. No hay graficas"
201617925,5,5,5,4.5,,,4. Newton mal definido debe ser la derivada sobre la segunda derivada
