ID de alumno,Diagnostico (/5),Taller 3 (/5),Taller 8 (/5),Taller 9 (/5),Final (/5),Definitiva
201612777,5,5,4.1,0,3.1,3.4
201613393,5,5,4.9,2.8,2.8,4.1
201613518,5,4,2.7,2.9,1.3,3.2
201518154,5,5,5,0.8,2.5,3.7
201630880,5,5,4.95,2.8,2.2,4
201628769,5,4,4.95,5,1.6,4.1
201619355,5,2.8,1.3,3.2,1.3,2.7
201615119,5,4.9,4,0,1.9,3.2
201632974,5,3,1.2,0,2.8,2.4
201616428,5,2.9,2.5,0,1.9,2.5
201633020,5,5,4.9,3,2.5,4.1
201619749,5,5,3,2,2.2,3.4
201513513,5,4.9,3.1,3.5,1.9,3.7
201617861,5,5,5,4,3.1,4.4
201532495,5,5,0,3.5,1.9,3.1
201632471,5,2.9,4,3,1.9,3.4
