exam,id,sec,pt1,pt2,pt3,pt4,pt5,pt6,pt7,pt8,total_8,total_5
1,1,1,1,1,0,1,0,0,0,0,3,1.875
1,2,1,,,,,,,,,,
1,3,1,0,1,0,1,1,0,0,1,4,2.5
1,4,1,0,0,0,1,0,0,0,1,2,1.25
1,5,1,0,1,1,0,0,0,1,1,4,2.5
1,6,1,0,0,0,1,0,0,0,0,1,0.625
1,7,1,,,,,,,,,,
1,8,1,,,,,,,,,,
1,9,1,0,0,0,1,0,0,0,0,1,0.625
1,10,1,0,0,0,1,1,0,0,1,3,1.875
1,11,1,0,1,0,1,0,0,0,0,2,1.25
1,12,1,0,0,0,0,0,0,0,1,1,0.625
1,13,1,0,0,0,0,0,0,0,1,1,0.625
1,14,1,0,0,0,1,0,0,0,1,2,1.25
1,15,1,0,0,0,1,0,1,0,0,2,1.25
1,16,1,0,0,0,1,0,0,0,1,2,1.25
1,17,1,0,0,0,1,0,0,0,1,2,1.25
1,18,1,0,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,0,0,0,0,0,0,0
1,2,3,0,0,0,0,0,0,0,1,1,0.625
1,3,3,0,0,0,0,0,0,0,1,1,0.625
1,4,3,0,0,0,1,0,0,0,1,2,1.25
1,5,3,0,0,0,1,0,0,0,1,2,1.25
1,6,3,1,1,0,1,1,0,0,1,5,3.125
1,7,3,0,0,0,1,0,0,0,0,1,0.625
1,8,3,,,,,,,,,,
1,9,3,0,0,0,1,0,0,0,0,1,0.625
1,10,3,0,0,0,0,0,0,0,1,1,0.625
1,11,3,0,0,0,1,0,0,0,1,2,1.25
1,12,3,0,0,0,0,1,0,0,1,2,1.25
1,13,3,0,0,0,1,0,0,0,1,2,1.25
1,14,3,0,0,0,1,1,0,0,1,3,1.875
1,15,3,,,,,,,,,,
1,16,3,0,0,0,1,0,0,0,1,2,1.25
1,17,3,0,0,1,0,0,0,0,0,1,0.625
1,18,3,0,0,1,0,0,0,1,0,2,1.25
1,19,3,0,0,0,1,0,0,0,0,1,0.625
1,20,3,0,0,0,1,0,0,0,1,2,1.25
1,21,3,0,0,0,1,0,0,0,1,2,1.25
2,1,1,0,1,1,1,0,0,0,0,3,1.875
2,2,1,0,1,0,1,1,0,1,0,4,2.5
2,3,1,1,1,1,1,1,1,1,1,8,5
2,4,1,1,1,1,1,1,0.5,0,0,5.5,3.4375
2,5,1,1,1,1,1,1,1,1,1,8,5
2,6,1,0,1,1,1,0,1,1,0,5,3.125
2,7,1,0,0,1,1,0,0,0,0,2,1.25
2,8,1,1,1,1,1,1,0.5,1,0,6.5,4.0625
2,9,1,0,1,1,1,0,0,0,0,3,1.875
2,10,1,0,1,1,0,1,0,1,0,4,2.5
2,11,1,0,1,1,1,0,0,0,0,3,1.875
2,12,1,0,1,0,1,0,0.5,1,0,3.5,2.1875
2,13,1,,,,,,,,,0,0
2,14,1,0,1,1,1,1,0,0,0,4,2.5
2,15,1,0,1,1,1,0,0,0,0,3,1.875
2,16,1,1,1,1,1,0,0,0,0,4,2.5
2,17,1,1,1,1,1,0,0,0,0.5,4.5,2.8125
2,18,1,0,1,1,1,0,0.5,0,0,3.5,2.1875
2,1,3,1,1,1,1,0,0,0,0,4,2.5
2,2,3,1,1,0,0,0,0,0,0,2,1.25
2,3,3,0,1,0,1,1,1,1,0,5,3.125
2,4,3,0,1,1,1,0,0,0,0,3,1.875
2,5,3,0,0,1,1,0,0.5,0,0,2.5,1.5625
2,6,3,1,1,1,1,1,1,1,1,8,5
2,7,3,1,1,0,1,0,0.5,1,0,4.5,2.8125
2,8,3,,,,,,,,,0,0
2,9,3,0,1,0,1,0,0,0,0,2,1.25
2,10,3,0,1,1,1,0,0,0,0,3,1.875
2,11,3,1,1,0,1,0,0.5,1,1,5.5,3.4375
2,12,3,0.5,1,1,1,1,1,1,0.5,7,4.375
2,13,3,1,1,1,1,0,1,1,0.5,6.5,4.0625
2,14,3,0,1,1,1,1,0.5,1,0,5.5,3.4375
2,15,3,0,1,1,1,0,0,0,0,3,1.875
2,16,3,1,1,1,1,0,0.5,0,0,4.5,2.8125
2,17,3,,,,,,,,,0,0
2,18,3,0,1,1,1,0,0,0,0,3,1.875
