e1,t3,t8,t9,e2,def,sec,id
1.875,0,2.5,2,1.875,2.275,1,1
,3.5,0,2.3,2.5,2.66,1,2
2.5,5,5,5,5,5,1,3
1.25,5,5,5,3.4375,4.6875,1,4
2.5,0,4.5,4.8,5,3.86,1,5
0.625,5,5,5,3.125,4.625,1,6
,5,1.7,3.5,1.25,3.29,1,7
,5,5,5,4.0625,4.8125,1,8
0.625,3,4.3,4,1.875,3.635,1,9
1.875,5,5,4.8,2.5,4.46,1,10
1.25,4.7,0,2.5,1.875,2.815,1,11
0.625,3,5,5,2.1875,4.0375,1,12
0.625,0,0,0,0,1,1,13
1.25,5,5,5,2.5,4.5,1,14
1.25,5,5,5,1.875,4.375,1,15
1.25,5,5,5,2.5,4.5,1,16
1.25,5,0,0,2.8125,2.5625,1,17
0,3.7,2.5,2.4,2.1875,3.1575,1,18
0,5,5,5,2.5,4.5,3,1
0.625,5,5,5,1.25,4.25,3,2
0.625,5,5,4,3.125,4.425,3,3
1.25,5,5,4.5,1.875,4.275,3,4
1.25,5,5,4.5,1.5625,4.2125,3,5
3.125,5,3.8,5,5,4.76,3,6
0.625,3,5,4.5,2.8125,4.0625,3,7
,2.5,0,0,0,1.5,3,8
0.625,3.5,4.3,2.9,1.25,3.39,3,9
0.625,5,5,5,1.875,4.375,3,10
1.25,5,5,5,3.4375,4.6875,3,11
1.25,5,4.3,5,4.375,4.735,3,12
1.25,5,0,5,4.0625,3.8125,3,13
1.875,5,5,5,3.4375,4.6875,3,14
,0,4.9,5,1.875,3.355,3,15
1.25,5,5,5,2.8125,4.5625,3,16
0.625,3,4.3,0,0,2.46,3,17
1.25,5,5,5,1.875,4.375,3,18
0.625,5,3.8,2.8,1.875,3.695,3,19
1.25,5,5,2.7,1.875,3.915,3,20
1.25,5,5,4.5,2.1875,4.3375,3,21
