ID,P1,P2,P3,P4,P5,P6,P7,P8,TOTAL
201516142,0,1,0,0,0,0,0,0,1
201630619,0,0,1,0,0,0,0,0,1
201223884,1,1,0,0,1,0,0,1,4
201614088,1,1,0,1,1,0,0,0,4
201514154,0,0,0,1,0,0,0,0,1
201715548,0,0,0,1,0,0,0,0,1
201515657,0,1,0,1,0,0,0,1,3
201713245,0,1,0,1,0,0,0,0,2
201621035,0,0,0,0,0,0,0,0,0
201632974,0,1,0,0,1,0,0,1,3
201615258,0,0,0,1,0,0,0,1,2
201615650,0,0,0,1,0,0,0,1,2
201713874,0,1,0,1,0,0,0,0,2
201615964,0,0,0,1,0,0,0,1,2
201531886,0,0,0,1,0,0,0,1,2
201714313,0,1,1,1,0,0,1,0,4
201720141,0,0,0,1,0,0,0,0,1
201730212,0,0,0,1,0,0,0,0,1
201717106,0,0,0,1,0,0,0,1,2
201715317,0,0,0,1,0,0,0,0,1
