ID,P1 (0.5pt),P2 (2pt),P3 (1.5pt),P4 (1pt),TOTAL
201223884,0.5,2,1.5,1,5
201514154,0,0,0,0,0
201515657,0.5,0,1.5,1,3
201531886,0.5,2,1.5,0.5,4.5
201614088,0.5,2,1.5,1,5
201615258,0.5,2,1.5,1,5
201615650,0.5,2,1.5,1,5
201621035,0.5,2,1.5,0,4
201630619,0.5,2,1.5,0.5,4.5
201632974,0.5,2,1.5,1,5
201713245,0.5,2,1.5,1,5
201713874,0.5,2,1.5,1,5
201714313,0.5,2,1.5,1,5
201715317,0.5,2,1.5,1,5
201715548,0.5,2,1.5,1,5
201717106,0.5,2,1.5,1,5
201720141,0.5,2,1.5,1,5
201730212,0.5,2,1.5,0.5,4.5
