ID de alumno,P1a (0.3pt),P1b (1.7pt),P2a (0.3pt),P2b (0.7pt),P2c (1.3pt),P2d (0.7pt),Total
201516142,0,0,0,0,0,0,0
201630619,0.3,1.7,0.3,0.7,0,0,3
201223884,0.3,1.7,0.3,0.7,0,0,3
201614088,0.3,1.7,0.3,0.7,1.3,0.7,5
201514154,0.3,0,0.3,0.7,1.3,0,2.6
201715548,0.3,1.275,0.3,0.7,1.3,0.7,4.575
201515657,0.3,0,0.3,0.7,1.3,0.7,3.3
201713245,0.3,1.7,0.3,0.7,1.3,0.7,5
201621035,0.3,0,0.3,0,0,0,0.6
201632974,0.3,1.7,0.3,0.7,1.3,0.7,5
201615258,0.3,1.7,0.3,0.7,1.3,0.7,5
201615650,0.3,1.7,0.3,0.7,1.3,0.7,5
201713874,0.3,0,0.3,0.7,0,0,1.3
201615964,0.3,1.7,0.3,0.7,1.3,0.7,5
201531886,0.3,1.7,0.3,0.7,1.3,0,4.3
201714313,0.3,1.7,0.3,0.7,1.3,0.7,5
201720141,0.3,1.7,0.3,0.7,1.3,0.7,5
201730212,0.3,0,0.3,0.7,1.3,0,2.6
201717106,0.3,1.7,0.3,0.7,1.3,0.7,5
201715317,0.3,0,0.3,0.7,0,0,1.3
