ID de alumno,P1 (1pt),P2 (1pt),P3 (0.5pt),P4 (1pt),P5 (1pt),P6 (0.5pt),Total
201516142,1,1,0.5,0,0,0,2.5
201630619,0,0,0,0,0,0,0
201223884,1,1,0.5,0.5,0.5,0,3.5
201614088,1,1,0.5,1,1,0.5,5
201514154,0,0,0,0,0,0,0
201715548,1,1,0.5,0,0,0,2.5
201515657,0.5,0.5,0.25,0.5,0,0,1.75
201713245,1,1,0.5,1,1,0.5,5
201621035,0.5,0.5,0.25,0.5,0,0,1.75
201632974,1,1,0.5,1,0,0,3.5
201615258,1,1,0.5,1,0,0,3.5
201615650,1,1,0.5,1,1,0.5,5
201713874,1,1,0.5,1,1,0,4.5
201615964,1,1,0.5,1,0,0,3.5
201531886,0.5,0.5,0.25,0.5,0.5,0,2.25
201714313,1,1,0.5,1,1,0.5,5
201720141,1,1,0.5,1,1,0.5,5
201730212,1,1,0.5,0,0,0,2.5
201717106,0.5,0.5,0.25,0.5,0.5,0,2.25
201715317,0,0,0,0,0,0,0
