ID de alumno;P1 (0,5pt);P2 (1pt);P3 (0,5pt);P4 (0,4pt);P5 (0,4pt);P6a (0,5pt);P6b (0,5pt);P7 (0,5pt);P8 (0,5pt);P9 (0,2pt);Total
201630619;0,5;0;0,5;0,4;0,4;0;0;0;0;0;1,8
201223884;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0;4,8
201614088;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201514154;0;0;0;0;0;0;0;0;0;0;0
201715548;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201515657;0,5;1;0,5;0,4;0,4;0,5;0;0,5;0,5;0;4,3
201713245;;;;;;;;;;;
201621035;0,5;1;0,5;0,4;0,4;0,5;0;0,5;0,5;0;4,3
201632974;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201615258;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201615650;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201713874;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0;4,8
201531886;0,5;1;0,5;0,4;0;0,5;0,5;0;0;0;3,4
201714313;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201720141;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201730212;0,5;1;0,5;0,4;0,4;0,5;0;0;0;0;3,3
201717106;0,5;1;0,5;0,4;0,4;0,5;0,5;0,5;0,5;0,2;5
201715317;0,5;1;0,5;0;0;0;0;0;0;0;2
