"nome","naz","team","tempo.1","tempo.2","tempo.3","tempo.4","tempo.5","tempo.6","tempo.7","tempo.8","tempo.9","tempo.10","tempo.11","tempo.12","tempo.13","tempo.14","tempo.15","tempo.16","tempo.17","tempo.18","tempo.19","tempo.20","tempo.21"
"AGNOLI Valerio","ITA","AST",1520,20315,36438,44964,63942,87940,107110,125689,142127,156600,178371,182165,195294,211991,233134,252462,270089,288953,293449,311211,327207
"ALAFACI Eugenio","ITA","TFR",1728,20523,36657,45183,64659,89388,108530,127856,145156,159831,181812,185686,198868,217273,239129,258457,276084,295393,300217,318656,334612
"AMADOR Andrey","CRC","MOV",1537,20332,36466,44992,64309,89462,108427,127466,144673,159348,181119,185036,198087,215732,237425,256275,273902,292766,297356,314985,330832
"ANACONA GOMEZ Winner","COL","LAM",1562,20357,36491,45017,63989,88076,107041,125929,143229,157904,179885,183864,196993,214265,235408,252961,270588,288794,293066,310656,326522
"ANTON Igor","ESP","MOV",1734,20529,36663,45189,64506,88593,107767,125466,142739,157414,178311,182324,195375,212063,232363,251213,268034,285826,290333,307694,323541
"APPOLLONIO Davide","ITA","ALM",1540,20332,36455,44981,64635,89038,108003,127371,144671,159144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARASHIRO Yukiya","JPN","EUC",1590,20385,36519,45045,64437,88778,107743,126631,143931,158606,180587,184385,197466,215871,237604,257206,274833,293697,298360,316526,332373
"ARMEE Sander","BEL","LTB",1740,20533,36667,45193,64324,88248,107213,125492,141788,156463,177360,181302,194353,211338,231871,251199,268826,286544,290862,308528,324444
"ARREDONDO MORENO Julian David","COL","TFR",1542,20337,36471,44997,63753,88684,107649,125106,142406,157157,178054,182100,195537,212722,233364,252966,270593,287974,292644,310437,326384
"ARU Fabio","ITA","AST",1520,20315,36449,44975,63735,87605,106570,123854,139873,154346,175243,178872,191923,208567,228543,245718,263345,280899,284853,302069,317916
"AVILA VANEGAS Edwin Alcibiad","COL","COL",1565,20357,36480,45006,64653,89046,108011,127290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAK Lars Ytting","DEN","LTB",1576,20371,36505,45031,64507,88594,107559,126138,142576,157251,178395,182170,195221,212263,233406,252512,269231,287580,292214,310056,325919
"BANDIERA Marco","ITA","AND",1590,20385,36519,45045,64692,89793,108758,127644,144767,159722,181703,185643,198908,217034,238818,258420,276076,295385,299944,318157,334113
"BARBIN Enrico","ITA","BAR",1549,20344,36478,45004,64125,89221,108186,127512,143548,158021,179999,184029,197460,215578,236681,256283,273910,293219,297715,315819,331657
"BASSO Ivan","ITA","CAN",1535,20330,36464,44990,63750,87620,106585,123876,139895,154368,175265,178964,192015,208738,228861,246852,264479,281973,286342,303753,319600
