aarónico	 1. adj. Perteneciente o relativo a Aarón, personaje bíblico, hermano de Moisés. 
ababillarse	 1. prnl. Chile. Dicho de un animal: Enfermar de la babilla. 
ababol	 1. m. Persona distraída, simple, abobada. U. m. en Aragón. En Navarra, u. c. rur. 2. m. Alb., Ar., Mur. y Nav. amapola. 
abacería	 1. f. Puesto o tienda donde se venden al por menor aceite, vinagre, legumbres secas, bacalao, etc. 
abacero	 1. m. y f. Persona que tiene abacería. 
abacial	 1. adj. Perteneciente o relativo al abad, a la abadesa o a la abadía. 
abad	 1. m. Superior de un monasterio de hombres, considerado abadía. 2. m. Dignidad superior de algunas colegiatas. 3. m. En los antiguos cabildos de algunas catedrales, título de una dignidad, ya superior, ya de canónigo. 4. m. carraleja. 5. m. Hombre que usaba hábito eclesiástico o manteo, como los sacerdotes o estudiantes de las universidades. 6. m. Ar. cura párroco. 7. m. p. us. Título honorífico de la persona lega que por derecho de sucesión poseía alguna abadía con frutos secularizados. 8. m. desus. Cura o beneficiado elegido por sus compañeros para presidirlos en cabildo durante cierto tiempo. ~ comendaticio. 1. m. El que, por merced papal, disfrutaba de ciertas rentas sobre una abadía, sin regirla ni residir en ella. □ V. oreja de abad 
abada	 1. f. rinoceronte. 
abadejo	 1. m. bacalao. 2. m. Nombre común a varios peces del mismo género que el bacalao. 3. m. reyezuelo. 4. m. carraleja. 5. m. cantárida (‖ insecto coleóptero). 6. m. Pez del mar de las Antillas, de color oscuro y escamas pequeñas y rectangulares. 
abadengo	 1. adj. Perteneciente o relativo a la dignidad o jurisdicción del abad. Tierras abadengas. Bienes abadengos. 2. m. abadía (‖ territorio, jurisdicción y bienes del abad o de la abadesa). 3. m. Poseedor de territorio o bienes abadengos. □ V. bienes de abadengo 
abadernar	 1. tr. Mar. Sujetar con badernas. 
abadesa	 1. f. Superiora en ciertas comunidades de religiosas. 
abadiado	 1. m. Ar. abadía (‖ territorio, jurisdicción y bienes del abad o de la abadesa). 
abadiato	 1. m. abadía (‖ territorio, jurisdicción y bienes del abad o de la abadesa). 
abajadero	 1. m. cuesta (‖ terreno en pendiente). 
abajamiento	 1. m. Acción y efecto de abajar. 2. m. ant. bajeza (‖ abatimiento, humillación). 
abajar	 1. tr. bajar. U. t. c. intr. 2. tr. Veter. Cortar mucho del casco de las caballerías. 
abajeño	 1. adj. Natural de El Bajío. U. t. c. s. 2. adj. Perteneciente o relativo a esta región de los Estados de Guanajuato, Michoacán y Jalisco, en México. 3. adj. Am. Natural o procedente de costas y tierras bajas. U. t. c. s. 4. adj. rur. Arg. sureño. 
abajo	 1. adv. l. Hacia lugar o parte inferior. Echaron la casa abajo Se tendió boca abajo 2. adv. l. En lugar o parte inferior. Vive abajo, en el sótano 3. adv. l. En lugar posterior, o que está después de otro, pero denotando situación inferior, ya efectiva, ya imaginada. Del rey abajo ninguno. U. especialmente en libros o escritos con referencia a lo que en ellos consta más adelante. El abajo firmante Véase abajo, página 72 4. adv. l. En dirección a lo que está más bajo respecto de lo que está más alto. Cuesta abajo 5. adv. l. U. en frases exclamativas, sin verbo, para reclamar la destitución o abolición de una autoridad, una institución, una ley, etc. ¡Abajo el dictador! ~ de. 1. loc. prepos. desus. Debajo de, al pie de. En muchos lugares de América, u. c. coloq. 
abalada	□ V. harina abalada 
abalar	 1. tr. Esp. occid. aballar1. 
abalaustrado	 1. adj. balaustrado. 
abaldonadamente	 1. adv. m. ant. Con arrojo u osadía. 
abaldonamiento	 1. m. ant. Atrevimiento, osadía. 
abaldonar	 1. tr. desus. afrentar (‖ ofender). 2. tr. ant. envilecer. 3. tr. ant. abandonar. U. en Salamanca y algunos lugares de América. 4. prnl. ant. entregarse. 
abaleador	 1. m. y f. Persona que abalea1. 
abaleadura	 1. f. Acción y efecto de abalear1. 2. f. pl. Granzas o residuos que quedan después de abalear1. 
abalear	 1. tr. Separar del trigo, cebada, etc., después de aventados, y con escoba a propósito para ello, los granzones y la paja gruesa. abalear2. 1. tr. Am. balear3. 
abaleo	 1. m. Acción de abalear1. 2. m. Escoba con que se abalea1. 3. m. Nombre común a varias plantas duras y espinosas de las que se hacen escobas para abalear1. abaleo2. 1. m. Col. Acción y efecto de abalear2. 
abalizamiento	 1. m. balizamiento. 
abalizar	 1. tr. balizar. 
aballar	 1. tr. Ast. y Sal. Mover de un lugar. U. t. c. intr. y c. prnl. 2. tr. desus. Zarandear, sacudir. 3. tr. ant. Echar abajo, abatir. U. en Salamanca. aballar2. (Del it. abbagliare, rebajar). 1. tr. Pint. Amortiguar, desvanecer o esfumar las líneas y colores de una pintura. 
aballestar	 1. tr. Mar. Tirar del medio de un cabo ya teso y sujeto por sus extremos, a fin de ponerlo más rígido, cobrando por el extremo que ha de amarrarse lo que con esta operación presta o da de sí. 
abalorio	 1. m. Conjunto de cuentas agujereadas, con las cuales, ensartándolas, se hacen adornos y labores. 2. m. Cada una de estas cuentas. 3. m. Collar u objeto de adorno personal de poco valor. 
abaluartar	 1. tr. Mil. abastionar. 
abanar	 1. tr. Hacer aire con el abano. 2. tr. And. y Can. Avivar la lumbre con el soplillo. 
abancalar	 1. tr. Desmontar un terreno y formar bancales en él. 
abanderado	 1. m. y f. Persona que lleva una bandera en las procesiones u otros actos públicos. 2. m. y f. Portavoz o representante de una causa, movimiento u organización. 3. m. y f. Oficial designado para llevar la bandera de un cuerpo de tropas que tenga concedido tal honor. 4. m. Hombre que antiguamente servía al alférez para ayudarle a llevar la bandera. 
abanderamiento	 1. m. Acción de abanderar. 
abanderar	 1. tr. Matricular o registrar bajo la bandera de un Estado un buque de nacionalidad extranjera. U. t. c. prnl. 2. tr. Proveer a un buque de los documentos que acreditan su bandera. U. t. c. prnl. 3. tr. enarbolar. 4. tr. Ponerse al frente de una causa, movimiento u organización. 5. tr. Arg. y Chile. abanderizar. U. t. c. prnl. 6. tr. Cuba. Entregar la bandera a una delegación deportiva o a un colectivo de trabajadores. 7. tr. Méx. Entregar la bandera a un batallón o regimiento. 
abanderizador	 1. adj. Que abanderiza. U. t. c. s. 
abanderizar	 1. tr. Dividir en banderías. U. t. c. prnl. 
abandonado	 1. adj. Descuidado, desidioso. 2. adj. Sucio, desaseado. 
abandonamiento	 1. m. p. us. abandono (‖ acción de abandonar). 
abandonar	 1. tr. Dejar, desamparar a alguien o algo. 2. tr. Dejar una ocupación, un intento, un derecho, etc., emprendido ya. En juegos y deportes, u. m. c. intr. Al tercer asalto, abandonó. 3. tr. Dejar un lugar, apartarse de él. 4. tr. Cesar de frecuentar o habitar un lugar. 5. tr. Apoyar, reclinar con dejadez. U. m. c. prnl. 6. tr. Entregar, confiar algo a una persona o cosa. U. m. c. prnl. 7. prnl. Dejarse dominar por afectos, pasiones o vicios. 8. prnl. Descuidar los intereses o las obligaciones. 9. prnl. Descuidar el aseo y la compostura. 10. prnl. Caer de ánimo, rendirse en las adversidades y contratiempos. 
abandonismo	 1. m. Tendencia a abandonar sin lucha algo que poseemos o nos corresponde. 
abandonista	 1. adj. Perteneciente o relativo al abandonismo. Política abandonista. 2. adj. Partidario del abandonismo. U. t. c. s. 
abandono	 1. m. Acción y efecto de abandonar o abandonarse. 2. m. Der. Renuncia sin beneficiario determinado, con pérdida del dominio o posesión sobre cosas que recobran su condición de bienes nullius o adquieren la de mostrencos. 3. m. Der. Derecho del asegurado para exigir el pago del asegurador, dejando por cuenta de este las cosas aseguradas, a consecuencia de determinados accidentes del comercio marítimo. 
abanear	 1. intr. coloq. vulg. Gal. oscilar (‖ efectuar movimientos de vaivén). 
abanicar	 1. tr. Hacer aire con el abanico. U. m. c. prnl. 2. tr. Taurom. Agitar ante el toro el capote de un lado a otro. 3. intr. Cuba, Nic., P. Rico y Ven. En el juego de béisbol, no darle a la pelota después de intentarlo con fuerza. 4. prnl. No hacer caso, mostrar indiferencia ante algo. 
abanicazo	 1. m. Golpe dado con el abanico. 
