"Numero","Signo","Sorteo","Fecha"
1486,"Cancer",3276,"2012-12-27"
5045,"Tauro",3275,"2012-12-26"
8317,"Escorpion",3274,"2012-12-25"
9576,"Libra",3273,"2012-12-24"
8333,"Capricornio",3272,"2012-12-23"
348,"Capricornio",3271,"2012-12-22"
7038,"Libra",3270,"2012-12-21"
5915,"Geminis",3269,"2012-12-20"
4804,"Libra",3268,"2012-12-19"
9822,"Escorpion",3267,"2012-12-18"
2243,"Libra",3266,"2012-12-17"
5826,"Escorpion",3265,"2012-12-16"
9261,"Sagitario",3264,"2012-12-15"
1818,"Tauro",3263,"2012-12-14"
1502,"Geminis",3262,"2012-12-13"
6282,"Escorpion",3261,"2012-12-12"
4348,"Tauro",3260,"2012-12-11"
6605,"Tauro",3259,"2012-12-10"
6515,"Capricornio",3258,"2012-12-09"
8193,"Piscis",3257,"2012-12-08"
8012,"Capricornio",3256,"2012-12-07"
5007,"Sagitario",3255,"2012-12-06"
330,"Acuario",3254,"2012-12-05"
7232,"Escorpion",3253,"2012-12-04"
8952,"Sagitario",3252,"2012-12-03"
287,"Sagitario",3251,"2012-12-02"
648,"Escorpion",3250,"2012-12-01"
3848,"Libra",3249,"2012-11-30"
507,"Libra",3248,"2012-11-29"
2184,"Acuario",3247,"2012-11-28"
9310,"Cancer",3246,"2012-11-27"
805,"Escorpion",3245,"2012-11-26"
9310,"Geminis",3244,"2012-11-25"
4027,"Escorpion",3243,"2012-11-24"
9699,"Geminis",3242,"2012-11-23"
3860,"Acuario",3241,"2012-11-22"
7632,"Escorpion",3240,"2012-11-21"
5022,"Piscis",3239,"2012-11-20"
4956,"Virgo",3238,"2012-11-19"
4686,"Aries",3237,"2012-11-18"
4610,"Libra",3236,"2012-11-17"
1285,"Sagitario",3235,"2012-11-16"
2446,"Acuario",3234,"2012-11-15"
6999,"Libra",3233,"2012-11-14"
5448,"Virgo",3232,"2012-11-13"
482,"Tauro",3231,"2012-11-12"
5446,"Tauro",3230,"2012-11-11"
9751,"Sagitario",3229,"2012-11-10"
4793,"Piscis",3228,"2012-11-09"
7454,"Piscis",3227,"2012-11-08"
9258,"Capricornio",3226,"2012-11-07"
4429,"Aries",3225,"2012-11-06"
7365,"Acuario",3224,"2012-11-05"
3924,"Virgo",3223,"2012-11-04"
1674,"Cancer",3222,"2012-11-03"
6965,"Sagitario",3221,"2012-11-02"
9559,"Tauro",3220,"2012-11-01"
6662,"Escorpion",3219,"2012-10-31"
3848,"Geminis",3218,"2012-10-30"
8528,"Acuario",3217,"2012-10-29"
1783,"Virgo",3216,"2012-10-28"
3844,"Geminis",3215,"2012-10-27"
8183,"Geminis",3214,"2012-10-26"
8112,"Escorpion",3213,"2012-10-25"
79,"Acuario",3212,"2012-10-24"
9960,"Acuario",3211,"2012-10-23"
9198,"Cancer",3210,"2012-10-22"
3084,"Sagitario",3209,"2012-10-21"
4369,"Capricornio",3208,"2012-10-20"
9510,"Cancer",3207,"2012-10-19"
8666,"Tauro",3206,"2012-10-18"
5751,"Tauro",3205,"2012-10-17"
8936,"Leo",3204,"2012-10-16"
8246,"Capricornio",3203,"2012-10-15"
6359,"Cancer",3202,"2012-10-14"
7882,"Geminis",3201,"2012-10-13"
2038,"Acuario",3200,"2012-10-12"
4001,"Geminis",3199,"2012-10-11"
4385,"Aries",3198,"2012-10-10"
7174,"Libra",3197,"2012-10-09"
8644,"Virgo",3196,"2012-10-08"
8708,"Geminis",3195,"2012-10-07"
7838,"Tauro",3194,"2012-10-06"
3991,"Acuario",3193,"2012-10-05"
1107,"Piscis",3192,"2012-10-04"
7285,"Aries",3191,"2012-10-03"
3905,"Geminis",3190,"2012-10-02"
6458,"Acuario",3189,"2012-10-01"
1483,"Leo",3188,"2012-09-30"
27,"Capricornio",3187,"2012-09-29"
2781,"Libra",3186,"2012-09-28"
4112,"Sagitario",3185,"2012-09-27"
7885,"Capricornio",3184,"2012-09-26"
2930,"Acuario",3183,"2012-09-25"
9217,"Libra",3182,"2012-09-24"
9930,"Capricornio",3181,"2012-09-23"
7018,"Libra",3180,"2012-09-22"
4170,"Leo",3179,"2012-09-21"
1380,"Cancer",3178,"2012-09-20"
4313,"Leo",3177,"2012-09-19"
4376,"Acuario",3176,"2012-09-18"
252,"Escorpion",3175,"2012-09-17"
7634,"Sagitario",3174,"2012-09-16"
5848,"Aries",3173,"2012-09-15"
5576,"Geminis",3172,"2012-09-14"
1079,"Acuario",3171,"2012-09-13"
2221,"Sagitario",3170,"2012-09-12"
2524,"Geminis",3169,"2012-09-11"
4153,"Cancer",3168,"2012-09-10"
4957,"Sagitario",3167,"2012-09-09"
2288,"Tauro",3166,"2012-09-08"
9340,"Capricornio",3165,"2012-09-07"
3517,"Piscis",3164,"2012-09-06"
1942,"Acuario",3163,"2012-09-05"
8239,"Escorpion",3162,"2012-09-04"
1383,"Aries",3161,"2012-09-03"
3055,"Aries",3160,"2012-09-02"
615,"Leo",3159,"2012-09-01"
6300,"Aries",3158,"2012-08-31"
880,"Leo",3157,"2012-08-30"
919,"Leo",3156,"2012-08-29"
7846,"Capricornio",3155,"2012-08-28"
4978,"Sagitario",3154,"2012-08-27"
6520,"Tauro",3153,"2012-08-26"
4859,"Geminis",3152,"2012-08-25"
4795,"Acuario",3151,"2012-08-24"
2083,"Virgo",3150,"2012-08-23"
8,"Capricornio",3149,"2012-08-22"
2097,"Geminis",3148,"2012-08-21"
454,"Aries",3147,"2012-08-20"
4817,"Aries",3146,"2012-08-19"
7286,"Acuario",3145,"2012-08-18"
4011,"Piscis",3144,"2012-08-17"
9587,"Escorpion",3143,"2012-08-16"
733,"Aries",3142,"2012-08-15"
8167,"Acurio",3141,"2012-08-14"
8975,"Cancer",3140,"2012-08-13"
1851,"Virgo",3139,"2012-08-12"
3065,"Capricornio",3138,"2012-08-11"
2071,"Leo",3137,"2012-08-10"
8080,"Capricornio",3136,"2012-08-09"
3959,"Virgo",3135,"2012-08-08"
9987,"Sagitario",3134,"2012-08-07"
421,"Leo",3133,"2012-08-06"
5672,"Acuario",3132,"2012-08-05"
5210,"Geminis",3131,"2012-08-04"
3232,"Leo",3130,"2012-08-03"
442,"Tauro",3129,"2012-08-02"
993,"Aries",3128,"2012-08-01"
8343,"Piscis",3127,"2012-07-31"
8596,"Geminis",3126,"2012-07-30"
6567,"Leo",3125,"2012-07-29"
2180,"Sagitario",3124,"2012-07-28"
1312,"Leo",3123,"2012-07-27"
5338,"Aries",3122,"2012-07-26"
8396,"Leo",3121,"2012-07-25"
5775,"Geminis",3120,"2012-07-24"
3428,"Libra",3119,"2012-07-23"
9658,"Leo",3118,"2012-07-22"
9963,"Geminis",3117,"2012-07-21"
4422,"Aries",3116,"2012-07-20"
7091,"Escorpion",3115,"2012-07-19"
902,"Acuario",3114,"2012-07-18"
7428,"Geminis",3113,"2012-07-17"
6831,"Sagitario",3112,"2012-07-16"
1971,"Geminis",3111,"2012-07-15"
1843,"Aries",3110,"2012-07-14"
2791,"Aries",3109,"2012-07-13"
550,"Escorpio",3108,"2012-07-12"
6726,"Piscis",3107,"2012-07-11"
7926,"Acurio",3106,"2012-07-10"
4908,"Libra",3105,"2012-07-09"
7988,"Piscis",3104,"2012-07-08"
5642,"Virgo",3103,"2012-07-07"
7687,"Acuario",3102,"2012-07-06"
8044,"Virgo",3101,"2012-07-05"
9558,"Libra",3100,"2012-07-04"
9872,"Escorpion",3099,"2012-07-03"
8123,"Capricornio",3098,"2012-07-02"
8783,"Tauro",3097,"2012-07-01"
7103,"Tauro",3096,"2012-06-30"
6154,"Tauro",3095,"2012-06-29"
4627,"Leo",3094,"2012-06-28"
9005,"Aries",3093,"2012-06-27"
2321,"Libra",3092,"2012-06-26"
4633,"Piscis",3091,"2012-06-25"
3508,"Aries",3090,"2012-06-24"
7976,"Leo",3089,"2012-06-23"
5761,"Capricornio",3088,"2012-06-22"
8194,"Tauro",3087,"2012-06-21"
6786,"Libra",3086,"2012-06-20"
1578,"Aries",3085,"2012-06-19"
1073,"Capricornio",3084,"2012-06-18"
2583,"Sagitario",3083,"2012-06-17"
1287,"Leo",3082,"2012-06-16"
5840,"Tauro",3081,"2012-06-15"
5752,"Acuario",3080,"2012-06-14"
4791,"Geminis",3079,"2012-06-13"
4040,"Acuario",3078,"2012-06-12"
5689,"Acuario",3077,"2012-06-11"
9273,"Piscis",3076,"2012-06-10"
6849,"Libra",3075,"2012-06-09"
2527,"Capricornio",3074,"2012-06-08"
9537,"Leo",3073,"2012-06-07"
4473,"Geminis",3072,"2012-06-06"
8238,"Escorpion",3071,"2012-06-05"
2518,"Piscis",3070,"2012-06-04"
6774,"Cancer",3069,"2012-06-03"
8352,"Tauro",3068,"2012-06-02"
3815,"Cancer",3067,"2012-06-01"
4745,"Tauro",3066,"2012-05-31"
9673,"Leo",3065,"2012-05-30"
