"Date","Rate","High (est)","Low (est)","Yr"
2015-02-23,2440.56,2470.7,2410.8,2015
2015-02-20,2419.04,2446.9,2391.5,2015
2015-02-19,2410.38,2437.7,2383.4,2015
2015-02-18,2400.53,2427,2374.4,2015
2015-02-17,2386.01,0,0,2015
2015-02-16,2386.62,0,0,2015
2015-02-13,2383.67,0,0,2015
2015-02-12,2372.41,0,0,2015
2015-02-11,2381,0,0,2015
2015-02-10,2385.58,2411.9,2359.5,2015
2015-02-09,2382.23,2409.7,2355.1,2015
2015-02-06,2382.18,0,0,2015
2015-02-05,2378.47,0,0,2015
2015-02-04,2392.17,0,0,2015
2015-02-03,2418.97,0,0,2015
2015-02-02,2407,2435,2379.4,2015
2015-01-30,2377.36,2406.5,2348.6,2015
2015-01-29,2377.82,0,0,2015
2015-01-28,2383.54,2409.8,2357.6,2015
2015-01-27,2380.43,2407.6,2353.6,2015
2015-01-26,2380.67,2408.3,2353.3,2015
2015-01-23,2370.09,0,0,2015
2015-01-22,2366.19,0,0,2015
2015-01-21,2374.93,0,0,2015
2015-01-20,2384.04,2411,2357.4,2015
2015-01-19,2387.21,0,0,2015
2015-01-16,2414.37,0,0,2015
2015-01-15,2407.44,0,0,2015
2015-01-14,2407.44,2436.7,2378.6,2015
2015-01-13,2399.07,2425.5,2372.9,2015
2015-01-12,2413.59,2440.4,2387.1,2015
2015-01-09,2438.28,2467.7,2409.2,2015
2015-01-08,2423.2,0,0,2015
2015-01-07,2404.47,0,0,2015
2015-01-06,2400.23,2426.9,2373.8,2015
2015-01-05,2387.6,2416.9,2358.6,2015
2015-01-02,2384.27,2414,2354.9,2015
2015-01-01,2379.93,2407.4,2352.7,2015
2014-12-31,2372.82,2401.6,2344.4,2014
2014-12-30,2364.48,2392,2337.3,2014
2014-12-29,2364.53,0,0,2014
2014-12-26,2350.49,2376.4,2324.9,2014
2014-12-25,2334.55,0,0,2014
2014-12-24,2318.37,2344.7,2292.3,2014
2014-12-23,2311.81,2340.2,2283.8,2014
2014-12-22,2337.72,2366.7,2309.1,2014
2014-12-19,2414.15,2444.2,2384.5,2014
2014-12-18,2422.77,2452.4,2393.5,2014
2014-12-17,2409.72,0,0,2014
2014-12-16,2409.72,2437.3,2382.5,2014
2014-12-15,2388.42,2414.8,2362.3,2014
2014-12-12,2353.46,2382,2325.3,2014
2014-12-11,2334.26,2360.8,2308.1,2014
2014-12-10,2321.85,2348.2,2295.8,2014
