cod.municipio,homicidios12,homicidios13,poblacion12,poblacion13,tasa.homicidios12,tasa.homicidios13
5001,1239,919,2393011,2417325,0.52,0.38
5002,7,6,19570,19478,0.36,0.31
5004,0,0,2290,2231,0.00,0.00
5021,0,1,3575,3550,0.00,0.28
5030,15,25,28897,29117,0.52,0.86
5031,9,14,21615,21768,0.42,0.64
5034,11,31,44573,44994,0.25,0.69
5036,6,7,8551,8680,0.70,0.81
5038,2,1,11695,11579,0.17,0.09
5040,6,13,16447,16658,0.36,0.78
5042,10,13,24025,24202,0.42,0.54
5044,0,4,7529,7543,0.00,0.53
5045,43,36,162914,167895,0.26,0.21
5051,7,6,37124,38100,0.19,0.16
5055,1,2,9108,8968,0.11,0.22
5059,2,4,4484,4383,0.45,0.91
5079,46,45,47722,48503,0.96,0.93
5086,2,7,6590,6645,0.30,1.05
5088,117,92,430034,438577,0.27,0.21
5091,2,1,9586,9487,0.21,0.11
5093,1,9,17317,17409,0.06,0.52
5101,8,22,27458,27335,0.29,0.80
5107,5,12,8728,8720,0.57,1.38
5113,1,6,6716,6689,0.15,0.90
5120,12,28,34865,35823,0.34,0.78
5125,1,2,8050,8099,0.12,0.25
5129,34,34,75033,75984,0.45,0.45
5134,4,4,9270,9209,0.43,0.43
5138,3,3,16793,16780,0.18,0.18
5142,1,1,4671,4646,0.21,0.22
5145,1,3,5410,5395,0.18,0.56
5147,17,14,51710,53048,0.33,0.26
5148,4,19,44992,45578,0.09,0.42
5150,3,2,3734,3696,0.80,0.54
5154,9,55,104318,106887,0.09,0.51
5172,41,25,70648,72453,0.58,0.35
5190,2,6,9247,9191,0.22,0.65
5197,1,5,15013,15010,0.07,0.33
5206,2,1,3756,3659,0.53,0.27
5209,5,9,20922,20843,0.24,0.43
5212,26,26,67549,68434,0.38,0.38
5234,6,9,23643,23560,0.25,0.38
5237,3,5,20828,21295,0.14,0.23
5240,2,3,12516,12526,0.16,0.24
5250,11,44,48568,48914,0.23,0.90
5264,2,1,9501,9654,0.21,0.10
5266,43,28,207290,212283,0.21,0.13
5282,4,14,21936,21817,0.18,0.64
5284,5,6,17587,17261,0.28,0.35
5306,1,2,4077,4064,0.25,0.49
5308,22,35,50583,51782,0.43,0.68
5310,2,4,12353,12513,0.16,0.32
5313,1,1,9838,9838,0.10,0.10
5315,1,4,6281,6287,0.16,0.64
5318,9,13,45253,46096,0.20,0.28
5321,1,1,5458,5394,0.18,0.19
5347,2,2,6138,6060,0.33,0.33
5353,1,4,4854,4859,0.21,0.82
5360,121,87,258520,261662,0.47,0.33
5361,8,24,22148,21757,0.36,1.10
5364,2,4,13971,13900,0.14,0.29
5368,0,0,12324,12249,0.00,0.00
5376,4,9,50805,51445,0.08,0.17
5380,53,40,59400,60388,0.89,0.66
5390,2,2,6720,6665,0.30,0.30
5400,4,9,18793,18905,0.21,0.48
5411,0,1,9507,9515,0.00,0.11
5425,5,5,7102,7021,0.70,0.71
5440,9,13,50955,51767,0.18,0.25
5467,1,3,6578,6450,0.15,0.47
5475,0,0,4315,4402,0.00,0.00
5480,14,7,19284,19714,0.73,0.36
5483,1,4,16730,16913,0.06,0.24
5490,9,6,57728,59230,0.16,0.10
5495,0,4,24703,25311,0.00,0.16
5501,3,7,3132,3169,0.96,2.21
5541,4,4,16020,15985,0.25,0.25
5543,2,3,10536,10669,0.19,0.28
5576,0,1,7402,7272,0.00,0.14
5579,34,29,44431,45239,0.77,0.64
5585,10,2,18103,18289,0.55,0.11
5591,3,7,18872,19263,0.16,0.36
5604,75,39,27172,27832,2.76,1.40
5607,2,3,18502,18712,0.11,0.16
5615,14,38,114299,116289,0.12,0.33
5628,1,6,8191,8191,0.12,0.73
5631,13,9,49727,50444,0.26,0.18
5642,6,8,17804,17740,0.34,0.45
5647,8,6,6556,6449,1.22,0.93
5649,1,3,15976,16008,0.06,0.19
5652,2,2,5625,5521,0.36,0.36
5656,7,12,12369,12456,0.57,0.96
5658,0,0,3250,3277,0.00,0.00
5659,4,2,23801,24253,0.17,0.08
5660,2,13,10964,10956,0.18,1.19
5664,4,15,25211,25676,0.16,0.58
5665,6,4,30536,30785,0.20,0.13
5667,1,1,13127,13076,0.08,0.08
5670,7,7,17214,17077,0.41,0.41
5674,3,6,17877,17652,0.17,0.34
5679,1,1,22556,22397,0.04,0.04
5686,22,10,34295,34753,0.64,0.29
5690,0,16,10759,10650,0.00,1.50
5697,0,8,26910,26981,0.00,0.30
5736,79,72,38661,39163,2.04,1.84
5756,2,5,36445,36104,0.05,0.14
5761,2,10,14327,14453,0.14,0.69
5789,2,1,15218,15058,0.13,0.07
5790,16,36,39257,40355,0.41,0.89
5792,0,0,7542,7616,0.00,0.00
5809,2,6,14092,14199,0.14,0.42
5819,6,7,6144,6220,0.98,1.13
5837,39,47,147243,151161,0.26,0.31
5842,1,2,8261,8253,0.12,0.24
5847,2,12,42847,43436,0.05,0.28
5854,7,30,20564,21092,0.34,1.42
5856,2,2,6227,6209,0.32,0.32
5858,18,15,9966,9786,1.81,1.53
5861,7,3,13314,13295,0.53,0.23
5873,1,1,5543,5556,0.18,0.18
5885,5,7,8098,8167,0.62,0.86
5887,13,32,45177,45740,0.29,0.70
5890,3,9,22730,23142,0.13,0.39
5893,8,12,17503,17867,0.46,0.67
5895,6,43,29614,29989,0.20,1.43
8001,348,317,1200513,1206946,0.29,0.26
8078,9,9,56031,56641,0.16,0.16
8137,0,2,16911,16618,0.00,0.12
8141,0,0,12373,12413,0.00,0.00
8296,7,5,39300,40420,0.18,0.12
8372,1,1,16130,16358,0.06,0.06
8421,3,9,25862,26206,0.12,0.34
8433,19,26,115274,117283,0.16,0.22
8436,1,1,15141,15338,0.07,0.07
8520,3,0,24872,25037,0.12,0.00
8549,0,0,5104,5112,0.00,0.00
8558,0,1,14889,15018,0.00,0.07
8560,1,2,21253,21584,0.05,0.09
8573,9,6,27393,27309,0.33,0.22
8606,3,1,25083,25420,0.12,0.04
8634,2,8,29707,30362,0.07,0.26
8638,15,20,94837,95966,0.16,0.21
8675,0,0,11867,11778,0.00,0.00
8685,1,1,24934,25067,0.04,0.04
8758,135,101,566784,582774,0.24,0.17
8770,0,1,9057,8954,0.00,0.11
8832,1,1,11003,11014,0.09,0.09
8849,0,1,9232,9292,0.00,0.11
11001,1248,1259,7571345,7674366,0.16,0.16
13001,228,275,967103,978600,0.24,0.28
13006,4,1,21913,22279,0.18,0.04
13030,0,0,12909,13159,0.00,0.00
13042,4,1,17704,18082,0.23,0.06
13052,11,16,68583,69869,0.16,0.23
13062,0,1,9534,9656,0.00,0.10
13074,0,2,16873,17171,0.00,0.12
13140,0,0,22436,22720,0.00,0.00
13160,6,5,8765,8919,0.68,0.56
13188,0,2,11085,11105,0.00,0.18
13212,0,0,12573,12527,0.00,0.00
13222,0,1,12250,12340,0.00,0.08
13244,7,8,72650,73457,0.10,0.11
13248,0,0,7751,7768,0.00,0.00
13268,0,2,8914,9099,0.00,0.22
13300,0,0,11788,11846,0.00,0.00
13430,18,6,123312,123477,0.15,0.05
13433,4,2,24838,25150,0.16,0.08
13440,0,0,9656,9718,0.00,0.00
13442,8,14,47089,47410,0.17,0.30
13458,4,6,19795,20262,0.20,0.30
13468,2,3,43187,43493,0.05,0.07
13473,3,2,20278,20566,0.15,0.10
13490,1,1,5299,5266,0.19,0.19
13549,0,1,24179,24428,0.00,0.04
13580,0,0,9937,10108,0.00,0.00
13600,2,0,17242,17512,0.12,0.00
13620,0,0,6623,6643,0.00,0.00
13647,1,1,15936,16047,0.06,0.06
13650,0,0,13466,13556,0.00,0.00
13654,4,4,21469,21498,0.19,0.19
13655,0,1,12584,12857,0.00,0.08
13657,1,3,33122,33231,0.03,0.09
13667,3,1,16203,16560,0.19,0.06
13670,14,7,31197,31876,0.45,0.22
13673,2,5,12790,12929,0.16,0.39
