#"Código.Municipio" "Población" "Población.Pobre" "Incidencia" "Código.Departamento" "Departamento" "Municipio" "Número.de.Hogares" "Bajo.Logro.Educativo" "Bajo.Logro.Educativo.Absoluto" "Analfabetismo" "Analfabetismo.Absoluto" "Inasistencia.Escolar" "Inasistencia.Escolar.Absoluto" "Rezago.Escolar" "Rezago.Escolar.Absoluto" "Barreras.Cuidado.Primera.Infancia" "Barreras.Cuidado.Primera.Infancia.Absoluto" "Trabajo.Infantil" "Trabajo.Infantil.Absoluto" "Alta.Dependencia.Económica" "Alta.Dependencia.Económica.Absoluto" "Empleo.Informal" "Empleo.Informal.Absoluto" "Sin.Seguro.Salud" "Sin.Seguro.Salud.Absoluto" "Barreras.Acceso.Salud" "Barreras.Acceso.Salud.Absoluto" "Sin.Fuente.Agua.Mejorada" "Sin.Fuente.Agua.Mejorada.Absoluto" "Inadecuada.Eliminación.Excretas" "Inadecuada.Eliminación.Excretas.Absoluto" "Pisos.Inadecuados" "Pisos.Inadecuados.Absoluto" "Paredes.Inadecuadas" "Paredes.Inadecuadas.Absoluto" "Hacinamiento" "Hacinamiento.Absoluto" "Coordenadas" "Latitud" "Longitud" "NivelesIncidencia"
"1" 5001 2208077 715357.9923441 0.3239733 5 "Antioquia" "Medellín" 605192 0.5282677 319703.3858984 0.1369206 82863.2517552 0.0700396 42387.4056032 0.2500417 151323.2365064 0.1095362 66290.4319504 0.0221879 13427.9395768 0.3515276 212741.6912992 0.7785178 471152.7444176 0.2495376 151018.1592192 0.0455951 27593.7897592 0.0274429 16608.2235368 0.0310372 18783.4651424 0.0093007 5628.7092344 0.0189035 11440.246972 0.1178 71291.6176 "(6.235925, -75.575137)" 6.235925 -75.575137 "(0.142,0.357]"
"2" 5002 19828 13184.9993836 0.6649687 5 "Antioquia" "Abejorral" 5064 0.9103476 4610.0002464 0.2375592 1202.9997888 0.1639021 830.0002344 0.3155608 1597.9998912 0.1723934 873.0001776 0.1109795 562.000188 0.4352291 2204.0001624 0.9703791 4913.9997624 0.1587678 804.0001392 0.0689179 349.0002456 0.4085703 2068.9999992 0.2616509 1325.0001576 0.0473934 240.0001776 0.0075039 37.9997496 0.1433649 725.9998536 "(5.796806, -75.428001)" 5.796806 -75.428001 "(0.571,0.786]"
"3" 5004 2155 1131.99995 0.52529 5 "Antioquia" "Abriaqui" 579 0.8013817 464.0000043 0.1364421 78.9999759 0.0863558 50.0000082 0.2556131 147.9999849 0.1450777 83.9999883 0.1018998 58.9999842 0.4283247 248.0000013 0.9326425 540.0000075 0.0604491 35.0000289 0.0414508 24.0000132 0.4421416 255.9999864 0.3540587 204.9999873 0.0569948 32.9999892 0.0051813 2.9999727 0.1502591 87.0000189 "(6.633333299999999, -76.0666667)" 6.6333333 -76.0666667 "(0.357,0.571]"
"4" 5021 3718 2234.0000826 0.6008607 5 "Antioquia" "Alejandría" 1045 0.8411483 878.9999735 0.1578947 164.9999615 0.1033493 108.0000185 0.3129187 327.0000415 0.1665072 174.000024 0.0985646 103.000007 0.4430622 462.999999 0.9282297 970.0000365 0.1492823 156.0000035 0.0717703 74.9999635 0.4057416 423.999972 0.1856459 193.9999655 0.0708134 74.000003 0.0047847 5.0000115 0.15311 159.99995 "(6.376944399999999, -75.1411111)" 6.3769444 -75.1411111 "(0.571,0.786]"
"5" 5030 27004 12571.8850256 0.4655564 5 "Antioquia" "Amagá" 6928 0.812784 5630.967552 0.1911472 1324.2678016 0.1188071 823.0955888 0.3186955 2207.922424 0.1605185 1112.072168 0.0415712 288.0052736 0.4626024 3204.9094272 0.8888784 6158.1495552 0.1158475 802.59148 0.0255625 177.097 0.0978651 678.0094128 0.0398548 276.1140544 0.0428259 296.6978352 0.0109193 75.6489104 0.1134089 785.6968592 "(6.05, -75.7)" 6.05 -75.7 "(0.357,0.571]"
"6" 5031 20014 13688.17502 0.68393 5 "Antioquia" "Amalfi" 4991 0.8551376 4267.9917616 0.3386312 1690.1083192 0.1639519 818.2839329 0.3767308 1880.2634228 0.1607487 802.2967617 0.0774396 386.5010436 0.483266 2411.980606 0.9639364 4811.0065724 0.1130039 564.0024649 0.0500301 249.7002291 0.4157978 2075.2468198 0.3215514 1604.8630374 0.179614 896.453474 0.0301038 150.2480658 0.1742631 869.7471321 "(6.9166667, -75.08333329999999)" 6.9166667 -75.0833333 "(0.571,0.786]"
"7" 5034 40668 25906.4594976 0.6370232 5 "Antioquia" "Andes" 10395 0.8378272 8709.213744 0.274446 2852.86617 0.1295978 1347.169131 0.3219799 3346.9810605 0.1765342 1835.073009 0.0935266 972.209007 0.423028 4397.37606 0.9547012 9924.118974 0.1827118 1899.289161 0.064037 665.664615 0.3390123 3524.0328585 0.2833314 2945.229903 0.036143 375.706485 0.0158301 164.5538895 0.1407146 1462.728267 "(5.649999999999999, -75.9)" 5.65 -75.9 "(0.571,0.786]"
"8" 5036 7615 5106.3075465 0.6705591 5 "Antioquia" "Angelópolis" 1980 0.8845594 1751.427612 0.3129846 619.709508 0.1437933 284.710734 0.3150494 623.797812 0.1466147 290.297106 0.0499444 98.889912 0.4876755 965.59749 0.9324043 1846.160514 0.5245946 1038.697308 0.0796391 157.685418 0.0786085 155.64483 0.0979639 193.968522 0.0356394 70.566012 0.0053415 10.57617 0.1664492 329.569416 "(6.133333299999999, -75.7)" 6.1333333 -75.7 "(0.571,0.786]"
"9" 5038 12357 9925.9999758 0.8032694 5 "Antioquia" "Angostura" 2863 0.9256025 2649.9999575 0.377576 1081.000088 0.2249389 644.0000707 0.4121551 1180.0000513 0.2493888 714.0001344 0.0984981 282.0000603 0.5483758 1569.9999154 0.9745023 2790.0000849 0.0974502 278.9999226 0.0953545 272.9999335 0.3422983 980.0000329 0.5172896 1481.0001248 0.2176039 622.9999657 0.00489 14.00007 0.2155082 616.9999766 "(6.8666667, -75.33333329999999)" 6.8666667 -75.3333333 "(0.786,1]"
"10" 5040 9624 7148.9997696 0.7428304 5 "Antioquia" "Anori" 2289 0.8663172 1983.0000708 0.3289646 752.9999694 0.2066405 473.0001045 0.3892529 890.9998881 0.2284841 523.0001049 0.068152 155.999928 0.621232 1422.000048 0.9702927 2220.9999903 0.1882918 430.9999302 0.0943644 216.0001116 0.3359546 769.0000794 0.4145915 948.9999435 0.1131498 258.9998922 0.041066 94.000074 0.2839668 650.0000052 "(7.0736111, -75.1458333)" 7.0736111 -75.1458333 "(0.571,0.786]"
