"cod","municipio","departamento","hom90","pob90","tas90","hom91","pob91","tas91","hom92","pob92","tas92","hom93","pob93","tas93","hom94","pob94","tas94","hom95","pob95","tas95","hom96","pob96","tas96","hom97","pob97","tas97","hom98","pob98","tas98","hom99","pob99","tas99","hom00","pob00","tas00","hom01","pob01","tas01","hom02","pob02","tas02","hom03","pob03","tas03","hom04","pob04","tas04","hom05","pob05","tas05","hom06","pob06","tas06","hom07","pob07","tas07","hom08","pob08","tas08","hom09","pob09","tas09","hom10","pob10","tas10","hom11","pob11","tas11","hom12","pob12","tas12","hom13","pob13","tas13"
5001,"Medellín","Antioquia",3924,1688394,"232.410207570034",4585,1721767,266.296194548972,4120,1756711,234.529185506324,2852,1793491,159.019476540445,2932,1832197,160.026460036776,3711,1872241,198.211661853362,3824,1912860,199.910082285165,3169,1953293,162.23884486352,2950,1992781,148.034329913824,3258,2030560,160.448349223859,3151,2065871,152.526464624364,3456,2098618,164.679803565966,3589,2129874,168.507620638592,1938,2159609,89.7384665464906,1074,2187831,49.0897148819996,755,2214494,34.0935671986467,709,2239003,31.6658798581333,654,2265244,28.8710620136286,871,2291378,38.0120608646849,1432,2317336,61.795095747876,1408,2343049,60.0926399746655,1651,2368282,69.71,1239,2393011,51.7757753725328,919,2417325,38.0172297891264
5002,"Abejorral","Antioquia",33,24789,"133.123562870628",25,24479,102.128354916459,22,24129,91.1765924820755,23,23735,96.9033073520118,21,23297,90.1403614199253,22,22875,96.1748633879782,20,22479,88.9719293562881,2,22109,9.04608982767199,5,21768,22.9694965086365,17,21462,79.2097660982201,25,21195,117.95234725171,16,20966,76.3140322426786,31,20759,149.332819499976,33,20570,160.427807486631,19,20401,93.1326895740405,18,20249,88.8932786804287,14,20113,69.6067220205837,6,20022,29.9670362601139,5,19930,25.0878073256397,2,19853,10.0740442250541,4,19750,20.253164556962,6,19672,30.5,7,19570,35.7690342360756,6,19478,30.8039839819283
5004,"Abriaquí","Antioquia",5,3201,"156.201187129022",4,3214,124.455507156192,3,3222,93.1098696461825,3,3220,93.167701863354,3,3209,93.4870676223122,3,3187,94.132412927518,4,3158,126.66244458518,0,3121,0,0,3076,0,7,3027,231.252064750578,0,2971,0,0,2912,0,0,2856,0,6,2799,214.362272240086,1,2744,36.4431486880466,0,2690,0,2,2636,75.8725341426404,0,2570,0,0,2504,0,0,2458,0,0,2397,0,0,2336,0,0,2290,0,0,2231,0
5021,"Alejandría","Antioquia",7,4851,"144.300144300144",5,4823,103.66991499067,5,4784,104.515050167224,5,4732,105.663567202029,4,4666,85.726532361766,4,4589,87.1649596862062,10,4503,222.074172773706,5,4412,113.327289211242,4,4319,92.6140310257004,7,4226,165.641268338855,13,4137,314.237370074934,23,4053,567.480878361707,19,3978,477.626948215184,7,3912,178.936605316973,7,3858,181.441161223432,4,3816,104.82180293501,3,3789,79.1765637371338,2,3747,53.3760341606619,0,3724,0,0,3688,0,0,3652,0,0,3618,0,0,3575,0,1,3550,28.169014084507
5030,"Amagá","Antioquia",31,23606,"131.322545115649",24,23901,100.414208610518,21,24173,86.8737848012245,22,24419,90.0937794340473,20,24633,81.1918970486746,19,24823,76.5419167707368,20,25002,79.993600511959,15,25175,59.5829195630586,8,25356,31.5507177788295,11,25553,43.0477830391735,38,25775,147.429679922405,30,26027,115.264917201368,18,26294,68.456682132806,27,26571,101.614542170035,13,26858,48.4027105517909,6,27155,22.0953783833548,8,27455,29.1385904206884,18,27709,64.9608430473853,15,27950,53.6672629695886,8,28192,28.3768444948922,10,28433,35.1704005908627,34,28664,118.62,15,28897,51.908502612728,25,29117,85.8604938695607
5031,"Amalfi","Antioquia",25,18535,"134.879956838414",19,18727,101.457788220217,17,18907,89.9137885439255,17,19070,89.1452543261668,16,19216,83.2639467110741,14,19344,72.3738626964433,16,19463,82.2072650670503,29,19574,148.15571676714,16,19681,81.2966820791626,11,19788,55.5892460076814,15,19899,75.3806723955978,24,20019,119.886108197213,14,20139,69.5168578380257,21,20262,103.64228605271,21,20391,102.986611740474,9,20525,43.8489646772229,14,20665,67.747398983789,10,20826,48.0169019494862,23,20985,109.602096735764,7,21138,33.1157157725423,6,21295,28.1756280817093,19,21449,88.58,9,21615,41.6377515614157,14,21768,64.3145902241823
5034,"Andes","Antioquia",50,38759,"129.002296240873",38,38818,97.8927301767221,34,38884,87.4395638308816,35,38956,89.8449532806243,32,39033,81.9819127405016,32,39118,81.8037731990388,29,39225,73.9324410452518,18,39353,45.7398419434351,7,39509,17.7174820926877,3,39703,7.5561040727401,14,39939,35.0534565211948,12,40220,29.8359025360517,40,40526,98.7020678083206,40,40858,97.9000440550198,12,41211,29.1184392516561,20,41591,48.0873265850785,33,41988,78.5938839668477,15,42428,35.3540115018384,21,42852,49.0058807056847,14,43290,32.3400323400323,11,43715,25.1629875328834,27,44149,61.16,11,44573,24.6786171000381,31,44994,68.8980752989287
5036,"Angelópolis","Antioquia",8,6144,"130.208333333333",6,6179,97.1030911150672,5,6226,80.30838419531,6,6284,95.4805856142584,5,6356,78.665827564506,3,6442,46.5693883886992,4,6538,61.1807892321811,4,6644,60.2046959662854,7,6758,103.580941106836,7,6879,101.758976595435,32,7004,456.881781838949,7,7132,98.1491867638811,5,7259,68.8800110208018,6,7388,81.2127774769897,1,7513,13.3102622121656,3,7641,39.2618767177071,3,7765,38.6349001931745,2,7894,25.3356979984799,1,8034,12.4470998257406,2,8151,24.5368666421298,1,8287,12.0670930372873,2,8415,23.77,6,8551,70.1672319027014,7,8680,80.6451612903226
5038,"Angostura","Antioquia",18,13133,"137.0593162263",14,13195,106.100795755968,12,13238,90.6481341592386,13,13259,98.0466098499133,12,13254,90.5387052965143,8,13226,60.4869197036141,6,13182,45.5166135639508,6,13121,45.7282219343038,12,13053,91.9328889910365,5,12980,38.5208012326656,5,12907,38.7386689393352,6,12839,46.7326115741101,21,12768,164.473684210526,12,12691,94.5551965960129,6,12609,47.5850582916964,9,12519,71.8907260963336,3,12417,24.1604252234839,4,12294,32.536196518627,5,12175,41.0677618069815,4,12046,33.206043499917,1,11930,8.38222967309304,6,11811,50.8,2,11695,17.1013253527148,1,11579,8.63632438034373
5040,"Anorí","Antioquia",18,12351,"145.737187272286",14,12418,112.739571589628,12,12512,95.9079283887468,12,12634,94.9817951559284,11,12789,86.0114160606771,12,12969,92.528336803146,9,13171,68.3319413863792,30,13383,224.164985429276,8,13604,58.8062334607468,16,13825,115.732368896926,15,14038,106.852828038182,6,14242,42.1289144783036,17,14442,117.712228223238,14,14640,95.6284153005464,14,14832,94.3905070118662,27,15016,179.808204581779,23,15190,151.415404871626,21,15407,136.301681054066,12,15605,76.8984299903877,4,15812,25.2972426005565,2,16025,12.4804992199688,25,16237,153.97,6,16447,36.4808171703046,13,16658,78.0405811021731
